x,y,rl,crosectional_distance,khal_name
732742.1194,2460239.91,0.42,67,
732740.2836,2460237.537,0.62,70,
732738.4478,2460235.164,0.89,73,
732737.2239,2460233.582,1.17,75,
732736,2460232,2.38,77,
732735.3881,2460231.209,2.37,78,
732734.1642,2460229.627,2.26,80,
732663.8491,2460342.83,2.39,0,
732663,2460340,2.92,3,
732662.1509,2460337.17,1.17,6,
732661.3019,2460334.34,0.1,9,
732660.4528,2460331.509,-0.6,12,
732659.6038,2460328.679,-0.73,15,
732658.7547,2460325.849,-1.16,18,
732657.9057,2460323.019,-1.53,21,
732657.0566,2460320.189,-1.83,24,
732656.2075,2460317.358,-2.23,27,
732655.3585,2460314.528,-2.38,30,
732654.5094,2460311.698,-2.39,33,
732653.6604,2460308.868,-2.39,36,
732652.8113,2460306.038,-1.83,39,
732652.2453,2460304.151,-1.29,41,
732651.6792,2460302.264,-0.9,43,
732651.1132,2460300.377,-0.5,45,
732650.5472,2460298.491,-0.16,47,
732650.2642,2460297.547,0.43,48,
732649.6981,2460295.66,0.72,50,
732648.8491,2460292.83,1.17,53,
732648,2460290,1.93,56,
732647.717,2460289.057,1.92,57,
732647.434,2460288.113,1.55,58,
732646.8679,2460286.226,1.53,60,
732598.9375,2460352.938,2.62,0,
732598,2460350,2.59,3,
732597.0625,2460347.063,2.17,6,
732596.125,2460344.125,0.53,9,
732595.1875,2460341.188,-0.07,12,
732594.25,2460338.25,-0.47,15,
732593.3125,2460335.313,-0.79,18,
732592.6875,2460333.354,-1.39,20,
732591.75,2460330.417,-1.83,23,
732590.8125,2460327.479,-2.85,26,
732589.875,2460324.542,-2.86,29,
732589.25,2460322.583,-3.08,31,
732588.625,2460320.625,-3.15,33,
732587.6875,2460317.688,-3.08,36,
732587.0625,2460315.729,-3.07,38,
732586.4375,2460313.771,-3.09,40,
732585.8125,2460311.813,-2.43,42,
732585.1875,2460309.854,-1.87,44,
732584.875,2460308.875,-0.86,45,
732584.5625,2460307.896,-0.35,46,
