X-ID,Chanage,Directon,UTM_X,UTM_Y,x,y,,Distance,RL_m(PWD),Remarks,Surveyor Name,XsectionNo,origin_x,origin_y,del_s,chn
5,300,L to R,,,735423.6364,2465454.576,,35,1.02,,,GBR_5,,,,
5,300,L to R,,,735424.8182,2465454.788,,36,1.35,,,GBR_5,,,,
5,300,L to R,735426,2465455,735426,2465455,,37,2,RB,,GBR_5,,,,
5,300,L to R,,,735427.1818,2465455.212,,38,1.99,Dyke,,GBR_5,,,,
5,300,L to R,,,735429.5455,2465455.636,,40,1.3,Fishari,,GBR_5,,,,
5,300,L to R,,,735431.9091,2465456.061,,42,0.83,Fishari,,GBR_5,,,,
5,300,L to R,,,735435.4545,2465456.697,,45,0.85,Fishari,,GBR_5,,,,
6,400,L to R,,,735394.5,2465365.5,,0,1.9,House,,GBR_6,,,,
6,400,L to R,,,735397.1,2465364.9,,2,1.83,,,GBR_6,,,,
6,400,L to R,735401,2465364,735401,2465364,,5,1.61,LB,,GBR_6,,,,
6,400,L to R,,,735402.3,2465363.7,,6,1.38,,,GBR_6,,,,
6,400,L to R,,,735403.6,2465363.4,,7,1.18,,,GBR_6,,,,
6,400,L to R,,,735404.9,2465363.1,,8,0.98,,,GBR_6,,,,
6,400,L to R,,,735407.5,2465362.5,,10,0.16,,,GBR_6,,,,
6,400,L to R,,,735410.1,2465361.9,,12,-0.98,,,GBR_6,,,,
6,400,L to R,,,735411.4,2465361.6,,13,-1.18,,,GBR_6,,,,
6,400,L to R,,,735412.7,2465361.3,,14,-1.33,,,GBR_6,,,,
6,400,L to R,,,735414,2465361,,15,-1.29,,,GBR_6,,,,
6,400,L to R,,,735415.3,2465360.7,,16,-1.28,CL,,GBR_6,735370.5714,2465740.571,382.4952605,382.4952605
6,400,L to R,,,735416.6,2465360.4,,17,-1.07,,,GBR_6,,,,
6,400,L to R,,,735417.9,2465360.1,,18,-0.92,,,GBR_6,,,,
6,400,L to R,,,735419.2,2465359.8,,19,0.27,,,GBR_6,,,,
6,400,L to R,,,735420.5,2465359.5,,20,0.5,,,GBR_6,,,,
6,400,L to R,,,735421.8,2465359.2,,21,0.92,,,GBR_6,,,,
6,400,L to R,,,735423.1,2465358.9,,22,1.04,,,GBR_6,,,,
6,400,L to R,,,735424.4,2465358.6,,23,1.38,,,GBR_6,,,,
6,400,L to R,,,735425.7,2465358.3,,24,2.31,,,GBR_6,,,,
6,400,L to R,735427,2465358,735427,2465358,,25,2.31,RB,,GBR_6,,,,
6,400,L to R,,,735428.3,2465357.7,,26,2.31,Dyke,,GBR_6,,,,
6,400,L to R,,,735430.9,2465357.1,,28,1.88,Fishari,,GBR_6,,,,
6,400,L to R,,,735433.5,2465356.5,,30,0.78,Fishari,,GBR_6,,,,
6,400,L to R,,,735436.1,2465355.9,,32,0.84,Fishari,,GBR_6,,,,
6,400,L to R,,,735437.4,2465355.6,,33,0.92,Fishari,,GBR_6,,,,
6,400,L to R,,,735440,2465355,,35,0.84,Fishari,,GBR_6,,,,
6,400,L to R,,,735446.5,2465353.5,,40,0.92,Fishari,,GBR_6,,,,
7,500,L to R,,,735409.1053,2465261.737,,0,0.77,Fishari,,GBR_7,,,,
7,500,L to R,,,735411.7368,2465265.158,,5,0.78,Fishari,,GBR_7,,,,
7,500,L to R,,,735413.3158,2465267.211,,8,0.79,Fishari,,GBR_7,,,,
7,500,L to R,,,735414.3684,2465268.579,,10,1.26,Fishari,,GBR_7,,,,
7,500,L to R,,,735415.4211,2465269.947,,12,1.34,,,GBR_7,,,,
7,500,L to R,,,735416.4737,2465271.316,,14,1.57,Dyke,,GBR_7,,,,
7,500,L to R,735417,2465272,735417,2465272,,15,1.61,LB,,GBR_7,,,,
7,500,L to R,,,735417,2465272,,15,1.4,,,GBR_7,,,,
7,500,L to R,,,735417.5263,2465272.684,,16,1.16,,,GBR_7,,,,
7,500,L to R,,,735418.0526,2465273.368,,17,0.7,,,GBR_7,,,,
7,500,L to R,,,735418.5789,2465274.053,,18,0.37,,,GBR_7,,,,
7,500,L to R,,,735419.1053,2465274.737,,19,0,,,GBR_7,,,,
7,500,L to R,,,735419.6316,2465275.421,,20,-0.41,,,GBR_7,,,,
7,500,L to R,,,735420.1579,2465276.105,,21,-1.37,,,GBR_7,,,,
7,500,L to R,,,735420.6842,2465276.789,,22,-1.23,,,GBR_7,,,,
7,500,L to R,,,735421.2105,2465277.474,,23,-1.29,,,GBR_7,,,,
7,500,L to R,,,735421.7368,2465278.158,,24,-1.25,CL,,GBR_7,735370.5714,2465740.571,465.2350811,465.2350811
7,500,L to R,,,735422.2632,2465278.842,,25,-1.15,,,GBR_7,,,,
