x,y,rl,crosectional_distance,Khal_Name
733688,2459961.632,0.48,14,10NoSora
733687,2459961.947,0.31,15,10NoSora
733686,2459962.263,0.23,16,10NoSora
733685,2459962.579,0.16,17,10NoSora
733684,2459962.895,0.09,18,10NoSora
733683,2459963.211,0.08,19,10NoSora
733682,2459963.526,0.07,20,10NoSora
733681,2459963.842,0.06,21,10NoSora
733680.5,2459964,-0.02,21.5,10NoSora
733680,2459964.158,-0.29,22,10NoSora
733679,2459964.474,-0.27,23,10NoSora
733678,2459964.789,-0.17,24,10NoSora
733677,2459965.105,-0.11,25,10NoSora
733676,2459965.421,0.03,26,10NoSora
733675,2459965.737,0.26,27,10NoSora
733674,2459966.053,0.49,28,10NoSora
733673,2459966.368,0.73,29,10NoSora
733671,2459967,2.07,31,10NoSora
733669,2459967.632,2.06,33,10NoSora
733666,2459968.579,1.67,36,10NoSora
733662,2459969.842,1.67,40,10NoSora
733744.0714,2460051.071,0.47,0,10NoSora
733730.5,2460057.5,0.44,10,10NoSora
733723.7143,2460060.714,0.48,15,10NoSora
733722.3571,2460061.357,1.67,16,10NoSora
733721,2460062,1.69,17,10NoSora
733719.6429,2460062.643,0.72,18,10NoSora
733718.9643,2460062.964,0.5,18.5,10NoSora
733718.2857,2460063.286,0.2,19,10NoSora
733716.9286,2460063.929,0.12,20,10NoSora
733715.5714,2460064.571,0.09,21,10NoSora
733714.2143,2460065.214,0.07,22,10NoSora
733712.8571,2460065.857,0.02,23,10NoSora
733711.5,2460066.5,0.07,24,10NoSora
733710.1429,2460067.143,0.12,25,10NoSora
733708.7857,2460067.786,0,26,10NoSora
733707.4286,2460068.429,-0.01,27,10NoSora
733706.0714,2460069.071,0.18,28,10NoSora
733704.7143,2460069.714,0.23,29,10NoSora
733703.3571,2460070.357,0.72,30,10NoSora
733702,2460071,1.81,31,10NoSora
733699.2857,2460072.286,1.79,33,10NoSora
733696.5714,2460073.571,1.53,35,10NoSora
733691.1429,2460076.143,1.52,39,10NoSora
733780.3077,2460129.231,-0.44,0,10NoSora
733774.1538,2460134.615,-0.42,5,10NoSora
733770.4615,2460137.846,0.07,8,10NoSora
733769.2308,2460138.923,1.65,9,10NoSora
733768,2460140,1.61,10,10NoSora
733766.7692,2460141.077,0.73,11,10NoSora
733765.5385,2460142.154,0.23,12,10NoSora
733764.3077,2460143.231,0.08,13,10NoSora
733763.0769,2460144.308,0.03,14,10NoSora
733761.8462,2460145.385,-0.09,15,10NoSora
733760.6154,2460146.462,-0.21,16,10NoSora
733759.3846,2460147.538,-0.23,17,10NoSora
733758.1538,2460148.615,-0.26,18,10NoSora
733756.9231,2460149.692,-0.15,19,10NoSora
733755.6923,2460150.769,-0.01,20,10NoSora
733754.4615,2460151.846,0.33,21,10NoSora
733753.2308,2460152.923,0.73,22,10NoSora
733752,2460154,1.51,23,10NoSora
733748.3077,2460157.231,1.5,26,10NoSora
733745.8462,2460159.385,1.51,28,10NoSora
733743.3846,2460161.538,1.52,30,10NoSora
733731.0769,2460172.308,1.49,40,10NoSora
733845.1111,2460214.111,1.75,0,10NoSora
733832.8889,2460221.889,1.72,10,10NoSora
733830.4444,2460223.444,1.99,12,10NoSora
733828,2460225,2.02,14,10NoSora
733825.5556,2460226.556,0.73,16,10NoSora
733824.3333,2460227.333,0.42,17,10NoSora
733823.1111,2460228.111,-0.28,18,10NoSora
733821.8889,2460228.889,-0.22,19,10NoSora
733820.6667,2460229.667,0.07,20,10NoSora
733819.4444,2460230.444,0.08,21,10NoSora
733818.2222,2460231.222,0.03,22,10NoSora
733817,2460232,0.03,23,10NoSora
